                   x          segdensity2          segdensity2          segdensity3          segdensity4          segdensity5          segdensity6          segdensity7          segdensity8
 l=         100 t=   11.419400926604034     
                  27   172.78000000000000   341.45999999999998   347.48000000000002   329.88999999999999   161.14000000000001  4153.30000000000018  4392.11999999999989  4551.82999999999993
                  28   167.94000000000000   308.86000000000001   347.72000000000003   317.84000000000003   147.75000000000000  4163.00000000000000  4495.15000000000055  4501.73999999999978
                  29   145.75000000000000   286.41000000000003   378.76999999999998   304.53000000000003   154.37000000000000  3757.93000000000029  5199.32999999999993  4222.90999999999985
                  30   136.17000000000002   306.13999999999999   363.99000000000001   317.76999999999998   155.63000000000000  3769.76000000000022  5239.61999999999989  4160.92000000000007
                  31   228.62000000000000   454.88000000000000   542.51999999999998   432.44999999999999   207.78999999999999  3973.47000000000025  3676.50000000000000  4933.77000000000044
                  32   230.81000000000000   441.75000000000000   505.63000000000000   423.38999999999999   214.21000000000001  4008.88000000000011  3750.07999999999993  4875.25000000000000
                  33   146.06999999999999   333.32999999999998   370.25999999999999   317.22000000000003   145.14000000000001  5266.23999999999978  4165.71000000000004  3706.03000000000020
                  34   136.58000000000001   317.29000000000002   366.23000000000002   303.80000000000001   151.34000000000000  5235.94999999999982  4283.69000000000051  3655.11999999999989
                  35   146.56999999999999   287.78000000000003   355.81000000000000   263.49000000000001   161.43000000000001  3602.36999999999989  5400.40999999999985  4232.14000000000033
                  36   152.09999999999999   297.17000000000002   359.95999999999998   261.68000000000001   157.56999999999999  3574.92000000000007  5429.35999999999967  4217.23999999999978
                  37   249.52000000000001   423.92000000000002   465.21000000000004   485.21000000000004   225.59999999999999  4038.74000000000024  3724.09000000000015  4837.71000000000004
                  38   232.77000000000001   425.55000000000001   477.97000000000003   469.34000000000003   223.40000000000001  4078.76999999999998  3745.55999999999995  4796.64000000000033
                  39   140.96000000000001   316.69999999999999   373.00999999999999   274.43000000000001   155.19000000000000  5147.94999999999982  4307.14000000000033  3734.61999999999989
                  40   135.47000000000000   296.65000000000003   339.92000000000002   262.98000000000002   136.99000000000001  5224.40999999999985  4377.60999999999967  3675.97000000000025
                  41   157.75000000000000   307.75000000000000   368.65000000000003   315.75000000000000   146.49000000000001  3810.65999999999985  5273.60999999999967  4069.34000000000015
