                   l            thetaxbin         thetaxbindev            thetaybin         thetaybindev            thetazbin         thetazdevbin
 l=         100
                 109    -0.49768208638772     0.00403609490343    -0.48375437131176     0.00733386743703     0.98143645769948     0.00876912005469
                 110    -0.49820267417751     0.00111327511778    -0.47674425189422     0.01252576438887     0.97494692607173     0.01272247006627
                 111    -0.49852199473076     0.00153815557943    -0.48027998491561     0.00458162569428     0.97880197964636     0.00522947889325
                 112    -0.49836463031269     0.00151008309259    -0.48246188539305     0.01131136204494     0.98082651570574     0.01239531213695
                 113    -0.49796680878583     0.00195047368029    -0.46132612554411     0.02038086407971     0.95929293432994     0.02075845476548
                 114    -0.49623806179785     0.00479410589638    -0.47256005725313     0.01539089432032     0.96879811905098     0.01637525772172
                 115    -0.49620293818413     0.00564296127126    -0.45046995865830     0.02313040323806     0.94667289684244     0.02514467305891
                 116    -0.49608979905813     0.00555268701130    -0.45543639224798     0.02321091344503     0.95152619130611     0.02430265692985
                 117    -0.49721288769510     0.00389478586634    -0.46546403491630     0.02157646686905     0.96267692261141     0.02422723533300
                 118    -0.49699154000145     0.00327345079048    -0.46957824060020     0.01829651709290     0.96656978060164     0.02006705822629
                 119    -0.49535776249908     0.00679184820002    -0.46459641190287     0.01607591789895     0.95995417440195     0.01933878394473
                 120    -0.48829787178855     0.01763114428661    -0.45163089282701     0.01709265799814     0.93992876461555     0.02776481797441
                 121    -0.49722419196764     0.00386525483677    -0.46643345728006     0.01614825867575     0.96365764924770     0.01723117755743
                 122    -0.49432141209757     0.00782843763834    -0.47255874324492     0.01711825019012     0.96688015534249     0.02173521902148
                 123    -0.49607925222526     0.00481134574103    -0.43941546604361     0.02681152643531     0.93549471826887     0.02971563397960
                 124    -0.49383890153924     0.01154693967882    -0.45952106115783     0.02812251112508     0.95335996269707     0.03454149716955
                 125    -0.47406581418835     0.01342533754597    -0.42702659737802     0.02173761949369     0.90109241156637     0.02027077693694
                 126    -0.49495584058898     0.00473940475750    -0.44571994113173     0.02175521831218     0.94067578172071     0.02269542973247
                 127    -0.49778810390074     0.00262634753518    -0.48079647357768     0.01872610045212     0.97858457747842     0.02083860247913
                 128    -0.49871066327537     0.00089670969143    -0.48335062602317     0.00550663842522     0.98206128929854     0.00578413702197
                 129    -0.49377075807512     0.00960340504189    -0.46610707676172     0.02318104592447     0.95987783483684     0.02954935809999
                 130    -0.48771563730143     0.00979958967992    -0.44987162836730     0.01907892190474     0.93758726566873     0.02406342534653
                 131    -0.48874312558414     0.00833487069017    -0.46797786767994     0.01404892659251     0.95672099326408     0.01662454169232
                 132    -0.49257425778809     0.00759300541234    -0.47229206573388     0.00940079092204     0.96486632352197     0.01101380756520
                 133    -0.49681039425554     0.00721847526453    -0.46476400134896     0.01713543851413     0.96157439560450     0.01895297051045
                 134    -0.49683476207911     0.00265934508560    -0.46852129925497     0.01047321155843     0.96535606133408     0.01136862789397
                 135    -0.49596673245821     0.00413226576493    -0.48490596794322     0.00596367104409     0.98087270040143     0.00783765115740
                 136    -0.49615043823211     0.00626691863960    -0.47782288990518     0.01829323206976     0.97397332813729     0.02155508766368
                 137    -0.49865442304229     0.00256299566444    -0.49040445112801     0.00394003900739     0.98905887417030     0.00577678536099
                 138    -0.49927466871870     0.00065084976125    -0.48582283162732     0.00303182146217     0.98509750034602     0.00278617208448
                 139    -0.49809972312033     0.00151104782211    -0.45610653826395     0.01716142735968     0.95420626138428     0.01787103194148
                 140    -0.49652103835141     0.00376647943857    -0.44332174134920     0.01925448320562     0.93984277970060     0.01763899691790
                 141    -0.49872936503697     0.00117482580458    -0.47980816430386     0.00737790206083     0.97853752934082     0.00808268066064
                 142    -0.48674712334857     0.01274189575657    -0.47444039071122     0.00661016484839     0.96118751405979     0.01722890873856
                 143    -0.49737085071187     0.00547981351166    -0.48265255676282     0.00714702770139     0.98002340747469     0.01103564329116
                 144    -0.49909722652017     0.00103860110082    -0.48711233470896     0.00814109139452     0.98620956122913     0.00852056273189
                 145    -0.48626553611096     0.01154784153346    -0.45806968832564     0.01459082070433     0.94433522443661     0.02029485955351
                 146    -0.49664147141428     0.00346662967565    -0.42970511230064     0.02041618439117     0.92634658371492     0.02101081280584
                 147    -0.49752402034062     0.00197088661098    -0.46494625921328     0.02787427138134     0.96247027955391     0.02923381000699
                 148    -0.49765301987346     0.00268785705650    -0.46050641376681     0.01296144118725     0.95815943364027     0.01286406558402
                 149    -0.49627059218531     0.00635530801112    -0.46752492673694     0.01618395781503     0.96379551892225     0.01912522777856
                 150    -0.49693176730145     0.00437760264349    -0.47309131784860     0.01579181871385     0.97002308515005     0.01941450599244
                 151    -0.49827129250501     0.00204916527403    -0.48660565241291     0.00603263749056     0.98487694491792     0.00775435088164
                 152    -0.49800172786302     0.00184931486086    -0.48573464326481     0.00610830579883     0.98373637112784     0.00709466997301
                 153    -0.47115994726759     0.01745705426648    -0.42599554211143     0.01898254290018     0.89715548937902     0.02744749492273
                 154    -0.49228744252235     0.00915371079056    -0.40947885205962     0.03011397549147     0.90176629458197     0.02964440435399
                 155    -0.49803791912305     0.00287025890768    -0.47680848218589     0.01021457680164     0.97484640130894     0.01244950385162
                 156    -0.49716540046276     0.00335494324149    -0.47468295353933     0.00865663506551     0.97184835400209     0.01101994428803
                 157    -0.49851827017968     0.00206461167973    -0.48095296635833     0.00397716721602     0.97947123653801     0.00493018050143
                 158    -0.48158364912166     0.01138700198146    -0.47614152208903     0.00888904461811     0.95772517121069     0.01930779550366
                 159    -0.49586782726665     0.00989223520534    -0.47702807353534     0.01145997536460     0.97289590080199     0.01631105151732
                 160    -0.49864701642925     0.00083551401830    -0.47423522041522     0.00639985940753     0.97288223684447     0.00652022077399
                 161    -0.49905061505354     0.00075131135977    -0.47273877466611     0.01121225958945     0.97178938971966     0.01172634967697
                 162    -0.49898297532557     0.00142305777772    -0.46689505560139     0.01150416194994     0.96587803092695     0.01266190454336
                 163    -0.49534801564184     0.00152755586660    -0.46405140269413     0.00758207126918     0.95939941833597     0.00797572996855
                 164    -0.49895893253445     0.00106660196401    -0.48806281184931     0.01223933911627     0.98702174438376     0.01326729264042
                 165    -0.49964861024144     0.00071135513794    -0.48848718651199     0.01492710918796     0.98813579675342     0.01557655151422
                 166    -0.49830927796638     0.00076449982212    -0.45349483389817     0.01240302440747     0.95180411186455     0.01252570002659
                 167    -0.47843725000595     0.00908822993184    -0.46345792767646     0.00943965800637     0.94189517768241     0.01822016745371
                 168    -0.49913704698036     0.00139120901831    -0.46344394431397     0.00316907207130     0.96258099129433     0.00253510360006
                 169    -0.49825396366556     0.00206543709825    -0.42876820718291     0.00855639937219     0.92702217084847     0.00847941866999
                 170    -0.48076831777535     0.00677470861468    -0.44791241052962     0.00951667390000     0.92868072830497     0.00677033284694
                 171    -0.49951330731718     0.00039830719950    -0.49260663590017     0.00243060311274     0.99211994321735     0.00275940287654
                 172    -0.49922890390597     0.00030189375832    -0.48669842928334     0.00075210577271     0.98592733318931     0.00070788764337
                 173    -0.49838339199842     0.00383884204804    -0.43197798266101     0.01849462682862     0.93036137465943     0.01744983905290
                 174    -0.49792092825482     0.00091153050586    -0.43764057380575     0.01252414594739     0.93556150206057     0.01313831256767
                 175    -0.49936030953056     0.00044595372700    -0.47007179863316     0.00371078954623     0.96943210816373     0.00352387628012
                 176    -0.49945224948181     0.00103224000881    -0.47638418329817     0.00394534805065     0.97583643277998     0.00352328753576
                 177    -0.49908454854961     0.00015685144372    -0.43504564992667     0.01691611366051     0.93413019847628     0.01678032722433
                 178    -0.49925553618838     0.00039526796637    -0.47824549826231     0.01782807338668     0.97750103445069     0.01796205647591
                 179    -0.49959514290691     0.00077823018925    -0.46571903720217     0.00953690768406     0.96531418010908     0.01027174061234
                 180    -0.49884959257925     0.00107036481379    -0.46038738453015     0.00563651986436     0.95923697710940     0.00516563862860
                 181    -0.48346522003781     0.00337592560171    -0.43657877619648     0.00547923922950     0.92004399623429     0.00662355746640
                 182    -0.49854776818885     0.00342094632997    -0.47247644731263     0.00417670191124     0.97102421550148     0.00498032371605
                 183    -0.49977754446307     0.00006321915730    -0.49429336352546     0.01229966027671     0.99407090798853     0.01231856124239
                 184    -0.49770295874772     0.00092683494587    -0.44888259699705     0.00895156951055     0.94658555574477     0.00893704129949
                 185    -0.49961796608076     0.00073587486017    -0.47780899533439     0.00307617983699     0.97742696141515     0.00301859105201
                 186    -0.49871750996680     0.00049679008003    -0.47380790397688     0.00208168518191     0.97252541394368     0.00241039050368
                 187    -0.49904093612415     0.00010632279045    -0.48246503529203     0.00486565161625     0.98150597141618     0.00487421263418
                 188    -0.49920361002294     0.00074698097754    -0.48378636491850     0.00096300391554     0.98298997494144     0.00091807872217
                 189    -0.48066127986232     0.00646605458393    -0.44715755729395     0.00611421741919     0.92781883715626     0.01236711072837
                 190    -0.49938798452341     0.00073933779760    -0.45406220846255     0.00571294663348     0.95345019298596     0.00574572855753
                 191    -0.49851442452459     0.00036322935078    -0.47816181684701     0.00373064210080     0.97667624137160     0.00398609866698
                 192    -0.49953433601145     0.00123825117766    -0.48988957724225     0.00552331003948     0.98942391325370     0.00634968823156
                 193    -0.49937509548717     0.00016216621235    -0.48373836844906     0.00439424867028     0.98311346393623     0.00446832118380
                 194    -0.49941637299667     0.00022498824328    -0.47190472689554     0.00675569256089     0.97132109989221     0.00674817089207
                 195    -0.49922793787878     0.00045092125891    -0.47248541071912     0.00797567805744     0.97171334859790     0.00830859719641
                 196    -0.49914490940414     0.00131081170785    -0.45706318152234     0.00847800520251     0.95620809092648     0.00913582349314
                 197    -0.49808245197582     0.00549770772511    -0.48048549662569     0.01515479768466     0.97856794860151     0.01889735118830
                 198    -0.47893973042345     0.00699542953620    -0.41184235687073     0.01706432047995     0.89078208729419     0.02269388545617
                 199    -0.49962255835646     0.00064786394992    -0.48535219245218     0.00442401834765     0.98497475080864     0.00495518942990
                 200    -0.49949167130371     0.00087050311096    -0.49674938446271     0.00213751321902     0.99624105576642     0.00300029997862
                 201    -0.46757242549723     0.01022158620339    -0.43612447185347     0.01319603199351     0.90369689735070     0.00461746304428
                 202    -0.49788252081012     0.00049574918112    -0.43538874555707     0.01398510289365     0.93327126636719     0.01396128476116
                 203    -0.49947105184887     0.00041530072595    -0.46706303761332     0.00704929958795     0.96653408946219     0.00684221448919
                 204    -0.49946834271713     0.00049579050284    -0.47999128156834     0.00265942973137     0.97945962428547     0.00295133569097
                 205    -0.49849715676771     0.00179961042932    -0.46277325204863     0.00756093187298     0.96127040881634     0.00836215770841
                 206    -0.49917359941978     0.00034917355846    -0.47676589087085     0.00205693027418     0.97593949029063     0.00194887687117
                 207    -0.49852968590103     0.00190072147860    -0.47899691065782     0.00402105290203     0.97752659655885     0.00496593323756
                 208    -0.49879079270307     0.00168256842987    -0.48588301368893     0.00407521148992     0.98467380639200     0.00566671594506
                 209    -0.47825663459588     0.00681862989776    -0.43940005161775     0.01244792445192     0.91765668621364     0.00929402616152
                 210    -0.49906689279052     0.00166552166716    -0.44621408592002     0.00562573101427     0.94528097871055     0.00644970757440
                 211    -0.49944486442245     0.00027472299697    -0.48186708705785     0.00821020614719     0.98131195148030     0.00847545740490
                 212    -0.49955376144323     0.00014513035892    -0.46745386489957     0.00477212220509     0.96700762634279     0.00477654662260
                 213    -0.49771509191998     0.00536113152270    -0.48617380993820     0.00134191821252     0.98388890185817     0.00419816507139
                 214    -0.47732463475652     0.00863853394701    -0.47438876430168     0.00616642223812     0.95171339905820     0.01454081873305
                 215    -0.49934431544090     0.00015353162760    -0.47247043325314     0.00222260010960     0.97181474869405     0.00218215660544
